Customer ID,Age,Gender,Employment (Years),Accidents (Last 5 Years),Vehicle Age (Years),Vehicle Type,ICE or EV,Annual Mileage,Location,New factor,New factor,New factor,New factor
1,24,Male,2,1,5,Sedan,ICE,12000,Urban,,,,
2,45,Female,20,0,2,SUV,EV,8000,Suburban,,,,
3,30,Male,10,2,10,Sports Car,EV,15000,Urban,,,,
4,60,Female,40,0,8,Sedan,EV,5000,Rural,,,,
5,35,Male,15,0,3,SUV,EV,10000,Urban,,,,
6,50,Female,30,1,1,Sedan,EV,7500,Suburban,,,,
7,22,Male,1,2,12,Sports Car,EV,20000,Urban,,,,
8,40,Female,18,0,4,SUV,ICE,9000,Rural,,,,
9,29,Male,5,1,6,Sedan,EV,14000,Suburban,,,,
10,55,Female,35,0,2,Sedan,EV,6000,Urban,,,,
11,28,Female,4,0,5,SUV,ICE,9730,Urban,,,,
12,18,Female,2,0,12,Sports Car,ICE,20557,Suburban,,,,
13,20,Male,1,2,9,SUV,EV,10314,Rural,,,,
